modelo,grado,criterio,n,qwk
gemini-flash,1,Silábica,8,0.7576
gemini-flash,1,Ritmo,8,0.8750
gemini-flash,1,Respiración,8,-0.3793
gemini-flash,1,Precisión,8,0.1064
gemini-flash,2,Silábica,8,0.5294
gemini-flash,2,Ritmo,8,0.5676
gemini-flash,2,Respiración,8,0.6522
gemini-flash,2,Precisión,8,-0.4595
gemini-flash,3,Silábica,8,0.7143
gemini-flash,3,Ritmo,8,0.0000
gemini-flash,3,Respiración,8,0.0000
gemini-flash,3,Precisión,8,-0.1000
gemini-flash,4,Silábica,8,1.0000
gemini-flash,4,Ritmo,8,0.5000
gemini-flash,4,Respiración,8,0.3514
gemini-flash,4,Precisión,8,0.3125
gemini-flash,GLOBAL,Silábica,32,0.8253
gemini-flash,GLOBAL,Ritmo,32,0.7600
gemini-flash,GLOBAL,Respiración,32,0.4970
gemini-flash,GLOBAL,Precisión,32,0.0218
gemini-pro,1,Silábica,8,0.8049
gemini-pro,1,Ritmo,8,0.8182
gemini-pro,1,Respiración,8,-0.5294
gemini-pro,1,Precisión,8,0.5789
gemini-pro,2,Silábica,8,0.1429
gemini-pro,2,Ritmo,8,0.4483
gemini-pro,2,Respiración,8,0.6522
gemini-pro,2,Precisión,8,0.1642
gemini-pro,3,Silábica,8,0.3333
gemini-pro,3,Ritmo,8,0.0000
gemini-pro,3,Respiración,8,0.0000
gemini-pro,3,Precisión,8,0.7500
gemini-pro,4,Silábica,8,0.6667
gemini-pro,4,Ritmo,8,0.2982
gemini-pro,4,Respiración,8,0.3514
gemini-pro,4,Precisión,8,0.6250
gemini-pro,GLOBAL,Silábica,32,0.6936
gemini-pro,GLOBAL,Ritmo,32,0.7097
gemini-pro,GLOBAL,Respiración,32,0.4217
gemini-pro,GLOBAL,Precisión,32,0.5639
openai-audio,1,Silábica,8,0.7143
openai-audio,1,Ritmo,8,0.8182
openai-audio,1,Respiración,8,0.7419
openai-audio,1,Precisión,8,0.2941
openai-audio,2,Silábica,8,0.1429
openai-audio,2,Ritmo,8,0.4483
openai-audio,2,Respiración,8,0.5000
openai-audio,2,Precisión,8,0.1852
openai-audio,3,Silábica,8,0.2000
openai-audio,3,Ritmo,8,0.0303
openai-audio,3,Respiración,8,0.0000
openai-audio,3,Precisión,8,0.1429
openai-audio,4,Silábica,8,0.0000
openai-audio,4,Ritmo,8,0.3333
openai-audio,4,Respiración,8,0.2632
openai-audio,4,Precisión,8,0.5625
openai-audio,GLOBAL,Silábica,32,0.5665
openai-audio,GLOBAL,Ritmo,32,0.6271
openai-audio,GLOBAL,Respiración,32,0.6226
openai-audio,GLOBAL,Precisión,32,0.3482
